subjID,age,bg,line,RT,logRT
JHCsFwYp,52,PonzoPhoto,Bottom,409.1141038613898,6.013994099680593
mMgLzJYA,28,PonzoSimple,Top,309.24265021869405,5.734126244518688
JbkwgeHB,49,NonIllusion,Top,467.5986125016403,6.147610262317293
GmvBYdFV,33,NonIllusion,Top,306.3146205720796,5.72461274554996
lwBgEyCF,41,PonzoPhoto,Bottom,531.0068166112753,6.274774858468911
jUsTimfP,20,NonIllusion,Bottom,333.05171069182296,5.808297765287441
nCQfARoX,9,PonzoPhoto,Top,195.53248088788223,5.275726508274273
KBzxtgrf,8,PonzoSimple,Bottom,523.1597473551587,6.259886861700044
iBGZTQax,46,NonIllusion,Top,278.5855239189458,5.629725099905804
GbXleBdE,22,PonzoPhoto,Bottom,318.78662031060725,5.764521977122565
sknFuRpc,34,PonzoPhoto,Top,267.8176367254968,5.590306288913398
YPFKLeTo,27,PonzoSimple,Top,408.5722542911389,6.012668775748841
VIlCzrwT,63,PonzoPhoto,Bottom,481.01578650006246,6.175900089733641
ZzfnTsxw,40,PonzoSimple,Bottom,493.8388797791692,6.202209309694863
KVuDanTH,66,NonIllusion,Top,276.8741694808319,5.623563141177138
MrIxuVNm,10,PonzoSimple,Bottom,235.24892438525902,5.460644206235096
tUQKCOrY,54,PonzoPhoto,Top,327.4030501252344,5.791191981097776
hyPMXsFi,20,PonzoSimple,Top,443.7996729290682,6.095373273520007
aPVqRBjW,32,PonzoSimple,Bottom,505.078617362697,6.224714095104741
WPegvpZd,29,NonIllusion,Top,390.1976683922044,5.966653452753947
DJausGty,53,PonzoPhoto,Top,329.3830130197244,5.797221246953329
OwgmljMU,17,PonzoSimple,Bottom,288.55901214179306,5.664899613182829
fknFZTWp,28,PonzoPhoto,Bottom,502.5875819730005,6.219769917229644
OnKCYsUh,19,NonIllusion,Top,375.25201112506255,5.927597829926425
tmEDuBYe,24,PonzoPhoto,Top,370.8618079910799,5.915829508018346
mHgnoqOy,21,NonIllusion,Top,335.3668850373096,5.815225111769658
wxqPXOVE,11,NonIllusion,Bottom,252.0640474964762,5.529683211951121
BybmouvZ,59,PonzoPhoto,Top,268.67101257300806,5.593487629537746
uazOiRdD,16,PonzoSimple,Bottom,567.7876318851739,6.341747461281681
UnWQPlOs,15,PonzoSimple,Top,296.35096650066464,5.691544449577153
FOXpSaqK,36,PonzoSimple,Bottom,374.16129705573536,5.924686979992057
CdODLISU,63,NonIllusion,Top,284.4425673372023,5.650531360910466
hZoNRJlB,22,PonzoPhoto,Bottom,762.2163373236834,6.636230422641538
tDvuHXCq,25,PonzoPhoto,Top,362.104226463506,5.891932088792696
RpKdzDPM,60,PonzoPhoto,Top,317.29730414845375,5.7598392023300935
TgPhZDVc,30,PonzoPhoto,Bottom,446.8519168380331,6.102227257485948
NlvURYhf,50,PonzoSimple,Top,192.32597230949003,5.259191704886567
YExyzJho,20,NonIllusion,Bottom,392.84427651071763,5.973413290368996
pUcXtnhb,42,PonzoSimple,Bottom,524.8998024644993,6.263207391928405
fSXsqIho,49,NonIllusion,Top,354.89498937820923,5.87182194114819
qHFjapIr,44,PonzoPhoto,Bottom,263.3363411349225,5.573432078759078
GhsKmEop,15,PonzoSimple,Bottom,427.4641681589832,6.05787046769199
CKBoPQXd,32,PonzoSimple,Bottom,459.6036064207672,6.130364392812324
spyNitnz,16,PonzoSimple,Top,281.04714768552583,5.6385224406171
DCrieWws,48,PonzoSimple,Top,302.92989267235475,5.713501401418546
ZYoiQztH,40,NonIllusion,Bottom,346.6097234914922,5.8481994308161385
KfVoCSPl,47,PonzoSimple,Bottom,266.77541142658987,5.586407148724623
nSktsIMH,31,NonIllusion,Top,444.3713964116265,6.0966606911837
LbIvxpVc,12,NonIllusion,Top,426.4830852823873,6.055572706783938
OEQUTIZf,14,PonzoSimple,Bottom,525.1967106865667,6.263772879436003
PGMZvWiB,30,PonzoSimple,Top,389.308116907408,5.964371104405237
hrVGetBD,45,NonIllusion,Top,340.1253384805619,5.82931419226811
bJkDwLHM,23,NonIllusion,Bottom,212.21764159890165,5.357612359382571
VBekMLRu,19,PonzoSimple,Bottom,425.8219470022807,6.054021294114365
